154,120
2698,104
1397,29
1669,33
1627,12
1629,26
3093,85
59,34
1819,25
704,61
2982,79
1716,85
2186,38
3042,6
1362,89
1382,107
2004,38
2819,32
2594,52
646,6
713,19
1319,17
1404,103
1798,55
19,80
2502,85
144,97
2003,25
1007,48
1573,12
371,16
2274,43
1108,53
218,23
1631,60
2197,36
2773,53
1992,15
964,22
1934,57
2388,82
256,104
2564,22
412,95
1518,54
797,99
1163,43
2511,58
2812,25
2428,32
1009,85
556,22
244,50
102,13
1171,208
2911,85
591,139
3029,32
2217,190
59,78
3114,26
402,146
752,6
2526,43
2557,197
3131,223
3181,192
1416,103
944,78
556,90
2817,120
2251,158
986,122
3043,111
604,9
1783,111
659,12
2352,162
3074,209
1633,92
2502,20
573,138
186,122
986,10
1743,143
949,66
511,212
1529,34
2926,121
3168,62
3014,214
134,163
427,53
1201,188
1818,103
1106,171
1608,155
314,215
6,104
391,209
2206,41
664,170
441,5
2772,80
2586,192
2771,20
1436,50
1754,134
2819,116
803,169
1616,59
708,78
1671,97
3113,93
941,116
116,141
848,62
2352,148
1459,158
136,214
1382,89
1838,33
3183,174
362,173
906,219
1798,53
2264,58
1198,78
2942,111
658,111
1309,218
362,114
2414,64
2543,25
1211,118
2507,85
2894,87
1711,75
2459,78
1682,58
1547,209
2352,76
1513,19
828,4
269,74
674,50
626,180
3004,121
1382,103
1552,106
2,41
848,76
797,218
2748,183
1058,13
906,117
1697,1
752,120
19,144
1474,41
1457,199
413,219
1081,157
803,55
1231,66
3183,162
606,71
2788,25
369,102
1552,6
1742,55
264,37
186,10
389,116
187,220
2193,64
2544,190
894,54
1647,11
384,212
1442,106
752,50
381,66
3056,153
2812,17
244,202
1569,142
389,27
1984,187
2474,221
16,10
1583,104
1901,40
2294,5
2801,204
3059,158
2816,62
1474,174
1613,116
3029,61
2811,116
1302,204
2338,219
1336,52
2796,38
941,220
452,153
2516,99
86,198
71,209
2464,32
114,208
2314,69
1251,177
2801,20
171,135
2558,6
1094,75
1247,129
2348,55
1201,36
2894,199
2013,107
3059,102
643,41
2803,25
596,80
669,171
203,223
1044,22
3059,66
1038,23
264,187
1442,118
371,104
1981,220
3004,103
2762,2
1954,58
1989,106
3152,218
1204,4
1567,92
2487,131
6,120
2234,54
3103,223
2658,211
2403,125
1529,190
59,73
218,145
143,137
971,219
1247,185
698,204
2403,127
1953,17
3168,162
396,172
689,127
289,83
3129,43
519,17
3037,218
1266,111
86,125
2016,19
1726,162
1726,62
1518,58
2709,50
1587,116
1702,6
1234,114
1403,29
2587,220
1818,23
1264,27
882,58
3183,62
2448,162
86,15
1966,222
1402,169
141,12
2427,170
684,125
2191,27
2541,12
1418,47
2902,6
2694,75
1596,130
693,139
141,102
993,81
1069,102
2902,218
308,123
1201,34
1441,167
772,144
2997,1
1102,13
786,160
66,173
384,50
1166,192
362,51
429,101
1999,34
203,27
3074,62
1571,198
2131,74
3002,171
629,108
1186,50
3007,31
698,85
1631,30
1249,27
136,94
2501,30
1459,178
1547,97
1984,37
2788,137
1069,220
886,69
2759,117
1446,90
772,10
852,167
366,24
1992,209
852,55
1474,50
2206,39
2511,205
238,33
3056,41
1211,218
954,160
1108,171
1151,197
1592,155
2471,69
752,218
1936,113
1234,110
3064,11
1513,205
31,72
3014,10
2429,58
1296,29
783,8
828,220
603,27
488,87
1568,162
986,80
2417,216
699,30
2797,25
1972,32
144,41
3006,15
428,144
203,64
954,48
3198,71
1166,180
2593,81
1204,164
48,50
1291,62
3089,198
2582,177
1996,18
2834,24
831,142
163,106
56,13
2071,99
2002,34
2184,36
1989,142
2257,213
31,24
3029,173
86,138
56,181
2784,218
411,197
1171,128
298,106
1404,9
2799,22
1702,29
906,5
2942,113
412,87
684,99
436,85
269,122
2443,76
771,89
136,19
2926,103
971,107
428,80
1889,197
2817,8
48,174
1538,65
1148,41
657,87
1151,167
1264,197
381,108
1381,199
1186,398
3007,417
698,363
1631,418
1249,421
136,354
2501,418
1459,270
1547,351
1984,411
2788,311
1069,228
886,379
2759,331
1446,358
772,438
852,281
366,424
1992,239
852,393
1474,398
2206,409
2511,243
238,415
3056,407
1211,230
954,288
1108,277
1151,251
1592,293
2471,379
752,230
1936,335
1234,338
3064,437
1513,243
31,376
3014,438
2429,390
1296,419
783,440
828,228
603,421
488,361
1568,286
986,368
2417,232
699,418
2797,423
1972,416
144,407
3006,433
428,304
203,384
954,400
3198,377
1166,268
2593,367
1204,284
48,398
1291,386
3089,250
2582,271
1996,430
2834,424
831,306
163,342
56,435
2071,349
2002,414
2184,412
1989,306
2257,235
31,424
3029,275
86,310
56,267
2784,230
411,251
1171,320
298,342
1404,439
2799,426
1702,419
906,443
2942,335
412,361
684,349
436,363
269,326
2443,372
771,359
136,429
2926,345
971,341
428,368
1889,251
2817,440
48,274
1538,383
1148,407
657,361
1151,281
1264,251
381,340
1381,249
129,244
1184,447
212,226
401,246
618,271
87,317
831,360
797,398
1216,274
2564,230
143,389
1391,309
366,278
2797,249
1038,247
3006,265
2596,439
491,274
1697,225
1538,289
3169,296
643,265
1311,363
2583,419
3138,383
1166,404
2574,404
2796,262
1607,328
636,442
772,326
86,405
848,232
2816,363
3064,390
2206,265
1382,443
3029,313
2071,323
1626,444
613,228
741,442
1404,327
3091,358
1996,242
1581,248
664,394
3114,351
3187,228
607,367
1189,306
1989,442
1382,247
3129,239
3144,435
944,414
988,338
839,235
1871,244
2828,416
1429,285
1228,368
657,423
2752,423
1089,264
136,282
2771,244
301,296
3147,244
1437,230
501,394
2372,340
388,431
136,317
2564,442
1744,433
2754,446
56,293
314,227
1702,384
1197,249
2708,283
761,325
33,246
2027,389
163,442
437,293
1266,225
2834,235
2534,397
2403,435
596,304
1966,416
582,429
2507,309
492,277
1042,277
1457,269
2329,414
989,445
2156,246
1782,233
1014,410
1529,351
1216,229
2931,228
2448,386
886,433
734,248
362,341
1247,409
203,309
2788,353
2336,368
2013,443
2852,393
1227,389
1899,236
437,379
3129,258
2186,298
1336,429
281,319
1229,432
269,298
839,437
1094,299
212,446
1607,344
154,400
1266,279
2013,229
886,239
1743,381
2958,333
2487,355
2427,394
761,347
56,237
1429,387
1069,374
797,442
3029,256
2799,246
2804,332
362,387
718,282
2503,244
2894,311
1711,237
1302,356
2264,282
1204,396
2834,416
642,330
1743,403
2982,313
1247,431
2981,367
1899,436
384,309
573,362
1198,302
139,382
2816,251
3187,444
1711,351
1771,285
613,444
2417,440
2618,243
381,256
611,227
3064,318
269,346
1309,442
2911,253
1251,401
3056,377
209,309
2816,286
1266,393
1798,335
611,331
2352,260
669,395
428,257
2428,326
2404,284
2487,243
164,342
301,376
3129,414
769,254
738,243
183,258
3181,304
971,234
1391,363
134,387
2,295
1197,423
434,248
1682,394
1568,386
1204,388
1436,274
1148,265
1489,299
71,246
373,395
154,272
757,372

fold along y=224
fold along y=112
fold along x=1600
fold along y=56
fold along x=800
fold along x=400
fold along y=28
fold along y=14
fold along y=7
fold along x=200
fold along x=100
fold along x=50
